# x	y	u	v	flags	mask
6.7344e-01	1.3262e+00	-1.7101e-01	-1.9019e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.3262e+00	5.4692e-02	-2.3367e-01	0.0000e+00	0.0000e+00
1.1086e+00	1.3262e+00	1.0419e-02	4.4246e-01	0.0000e+00	0.0000e+00
1.3262e+00	1.3262e+00	9.7782e-02	1.6114e-01	0.0000e+00	0.0000e+00
1.5437e+00	1.3262e+00	1.9446e-01	1.0876e-01	0.0000e+00	0.0000e+00
1.7613e+00	1.3262e+00	2.7359e-01	8.6074e-02	0.0000e+00	0.0000e+00
1.9789e+00	1.3262e+00	1.6651e-01	1.6228e-01	0.0000e+00	0.0000e+00
2.1964e+00	1.3262e+00	5.4405e-02	-3.0577e-02	0.0000e+00	0.0000e+00
2.4140e+00	1.3262e+00	-3.2773e-01	-2.1519e-01	0.0000e+00	0.0000e+00
2.3829e-01	1.1086e+00	-1.8106e-01	-1.0001e-01	0.0000e+00	0.0000e+00
4.5586e-01	1.1086e+00	-1.1988e-01	1.3044e-01	0.0000e+00	0.0000e+00
6.7344e-01	1.1086e+00	2.2146e-01	1.1001e-01	0.0000e+00	0.0000e+00
8.9101e-01	1.1086e+00	5.0788e-01	-6.2133e-02	0.0000e+00	0.0000e+00
1.1086e+00	1.1086e+00	3.9325e-01	1.0050e-01	0.0000e+00	0.0000e+00
1.3262e+00	1.1086e+00	5.1231e-02	1.9258e-01	0.0000e+00	0.0000e+00
1.5437e+00	1.1086e+00	3.5269e-02	1.4915e-01	0.0000e+00	0.0000e+00
1.7613e+00	1.1086e+00	1.5492e-02	2.6522e-01	0.0000e+00	0.0000e+00
1.9789e+00	1.1086e+00	-1.7160e-01	2.9819e-01	0.0000e+00	0.0000e+00
2.1964e+00	1.1086e+00	-2.1697e-01	-3.6486e-01	0.0000e+00	0.0000e+00
2.4140e+00	1.1086e+00	-4.0519e-02	-1.0939e-01	0.0000e+00	0.0000e+00
2.3829e-01	8.9101e-01	-2.6730e-01	-8.4577e-02	0.0000e+00	0.0000e+00
4.5586e-01	8.9101e-01	1.7331e-01	3.6346e-01	0.0000e+00	0.0000e+00
6.7344e-01	8.9101e-01	3.4091e-01	3.7019e-01	0.0000e+00	0.0000e+00
8.9101e-01	8.9101e-01	5.0633e-01	4.0156e-04	0.0000e+00	0.0000e+00
1.1086e+00	8.9101e-01	4.6730e-01	-8.0211e-02	0.0000e+00	0.0000e+00
1.3262e+00	8.9101e-01	4.0032e-02	2.1222e-02	0.0000e+00	0.0000e+00
1.5437e+00	8.9101e-01	-1.8207e-01	2.9175e-01	0.0000e+00	0.0000e+00
1.7613e+00	8.9101e-01	-1.3110e-02	6.0018e-02	0.0000e+00	0.0000e+00
1.9789e+00	8.9101e-01	-1.8973e-01	8.3538e-03	0.0000e+00	0.0000e+00
2.1964e+00	8.9101e-01	1.0276e-01	2.3871e-01	0.0000e+00	0.0000e+00
2.4140e+00	8.9101e-01	6.8588e-01	8.5303e-03	0.0000e+00	0.0000e+00
2.3829e-01	6.7344e-01	3.9970e-01	5.5489e-01	0.0000e+00	0.0000e+00
4.5586e-01	6.7344e-01	5.6302e-01	5.0470e-01	0.0000e+00	0.0000e+00
6.7344e-01	6.7344e-01	5.1307e-01	3.8307e-01	0.0000e+00	0.0000e+00
8.9101e-01	6.7344e-01	4.1846e-01	-1.9460e-02	0.0000e+00	0.0000e+00
1.1086e+00	6.7344e-01	1.8551e-01	-1.7104e-01	0.0000e+00	0.0000e+00
1.3262e+00	6.7344e-01	2.9915e-01	-2.3149e-01	0.0000e+00	0.0000e+00
1.5437e+00	6.7344e-01	1.1398e-01	3.0054e-01	0.0000e+00	0.0000e+00
1.7613e+00	6.7344e-01	7.9289e-02	2.0290e-01	0.0000e+00	0.0000e+00
1.9789e+00	6.7344e-01	1.2101e-01	-1.5402e-01	0.0000e+00	0.0000e+00
2.1964e+00	6.7344e-01	-8.8149e-02	-6.1352e-02	0.0000e+00	0.0000e+00
2.4140e+00	6.7344e-01	-5.8687e-01	-1.7993e-01	0.0000e+00	0.0000e+00
2.3829e-01	4.5586e-01	3.1695e-01	4.8879e-01	0.0000e+00	0.0000e+00
4.5586e-01	4.5586e-01	1.5526e-01	1.1112e-01	1.0000e+00	0.0000e+00
6.7344e-01	4.5586e-01	-1.6112e-01	3.5602e-01	0.0000e+00	0.0000e+00
8.9101e-01	4.5586e-01	2.7928e-01	7.8838e-02	0.0000e+00	0.0000e+00
1.1086e+00	4.5586e-01	3.6830e-02	-3.8791e-01	0.0000e+00	0.0000e+00
1.3262e+00	4.5586e-01	4.0060e-02	-1.2423e-01	0.0000e+00	0.0000e+00
1.5437e+00	4.5586e-01	3.4478e-01	9.9435e-03	0.0000e+00	0.0000e+00
1.7613e+00	4.5586e-01	1.4970e-01	2.8856e-02	0.0000e+00	0.0000e+00
1.9789e+00	4.5586e-01	-3.7338e-01	-3.0215e-01	0.0000e+00	0.0000e+00
2.1964e+00	4.5586e-01	-1.0607e-01	-3.9417e-01	0.0000e+00	0.0000e+00
2.4140e+00	4.5586e-01	-8.2341e-02	-6.5821e-02	0.0000e+00	0.0000e+00
2.3829e-01	2.3829e-01	2.2647e-01	2.8643e-01	0.0000e+00	0.0000e+00
4.5586e-01	2.3829e-01	-3.0722e-01	-4.2541e-03	0.0000e+00	0.0000e+00
6.7344e-01	2.3829e-01	1.2742e-01	8.6202e-02	1.0000e+00	0.0000e+00
8.9101e-01	2.3829e-01	-3.3662e-01	3.1609e-01	0.0000e+00	0.0000e+00
1.1086e+00	2.3829e-01	-5.7760e-01	-5.5341e-01	0.0000e+00	0.0000e+00
1.3262e+00	2.3829e-01	-3.8115e-01	-1.9596e-01	0.0000e+00	0.0000e+00
1.5437e+00	2.3829e-01	-1.4510e-02	-9.1640e-02	0.0000e+00	0.0000e+00
1.7613e+00	2.3829e-01	-3.3810e-01	-6.0687e-01	0.0000e+00	0.0000e+00
1.9789e+00	2.3829e-01	-9.4424e-03	-5.8914e-02	1.0000e+00	0.0000e+00
2.1964e+00	2.3829e-01	-7.8701e-03	-1.2044e-01	0.0000e+00	0.0000e+00
2.4140e+00	2.3829e-01	1.6953e-01	2.2098e-03	0.0000e+00	0.0000e+00
